asin,name,rating,date,verified,review_title,body,helpfulVotes,brand,product_title
B00VQQ294C,Phillip Rascoe,1,"September 29, 2015",True,Too much stuff preloaded on it.,Too much stuff preloaded on it. I was only able to download part of my music library so you basically have to buy the 64,11.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Joleen Parks,1,"August 1, 2018",True,Not worth it,"Will not hold a charge, my daughter cannot use it if it is not plugged it. I tried to save $80 but ended up having to spend another $200 to replace this one with a new one. Not worth it.",3.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Theresa B.,5,"June 26, 2015",True,Extremely happy sometimes have to remind myself that it was used ...,Extremely happy sometimes have to remind myself that it was used before. No problems at all everything was reset perfectly although it was packaged poorly. it came with a charger but with no transformer but I bought one an Eaglewood charger that was perfect.,11.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Amazon Customer,5,"November 5, 2019",True,Opinion,I love it. I have no complaints at this time.,1.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Jason Erlewine,5,"November 19, 2019",True,Great device and perfect condition,"Bought for my daughter, she uses it everyday and it is a very well kept item. Perfect condition and works just like new.",,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Fredy Mixco,4,"May 27, 2018",True,Four Stars,Love my I pod touch!!,1.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Michael Alexander,4,"October 29, 2015",True,Awesome!,Is a little slow but that's to be expected from a last gen ipod. Overall it looks great (almost no ware) and is reliable.,1.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Johnny5Mics,3,"February 13, 2016",True,This iPod works great. Only reason it didn't get 5 stars was ...,This iPod works great. Only reason it didn't get 5 stars was the hard shell case that it comes in was damaged and it didn't have the plug that the sub charger plugs into. But not a bad device at all,1.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Alfredo A.,1,"October 2, 2019",True,Did not hold the battery charge,"The iPod would not hold the battery charge , I returned it",,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Julie,1,"November 13, 2019",True,Won’t hold a charge!,This iPod will not stay charged for longer than two hours worth of use no matter how long we keep it plugged up for.,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Jason,5,"November 9, 2015",True,Veryy happy,Love the iPod I use it every day and is a lot easier to carry around while traveling love it works really great 😎,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Randy Whitworth,1,"October 2, 2019",True,Battery only charged once - then died,Charged once. Loaded music. Played til battery was discharged. Battery will not recharge.,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Kindle Customer,1,"June 18, 2018",True,One Star,great product but the apple headphones were not included and the seller has ignored my emails.,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Sarah Ping,1,"November 3, 2019",True,Wish I would of t used one from eBay,"Not up to date with latest iso, can’t upload apps!",,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Brieanna Meza,2,"December 5, 2019",True,Worth it for the price,Low battery life,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Amazon Customer,5,"December 23, 2015",True,Excellent,Excellent!!!! Arrived very fast and items were as described. Will definitely purchase from seller in the future!!!!,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Amazon Customer,5,"December 14, 2019",True,Great gift,I bought this for my grandson who is ten years old he loves it,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Brittany,1,"October 14, 2019",True,Hate it,Did not hold charge very disappointed don’t buy this iPod,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Amanda Nelson,5,"May 24, 2018",True,Our son enjoyed it for his birthday,Product came as described and very fast shipping. Our son enjoyed it for his birthday.,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Amazon Customer,1,"February 11, 2017",True,I wouldnt,So I got the iPod and can't even use it do to authorized credentials it needs to use it from the old owner,1.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Gabrielle carlock,1,"November 19, 2019",True,Broken,Won't charge at all,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,jacob,1,"October 26, 2019",True,Do not buy,Do not buy it doesnt hold a charge.,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Amazon Customer,5,"November 5, 2019",True,💪🏾💪🏾💪🏾,Na,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,John J 'Irish',5,"November 17, 2015",True,Five Stars,whats not to love,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Amazon Customer,5,"June 11, 2018",True,My refurbished ipod touch is like new.,My refurbished ipod touch is like new...very happy with it.,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Jonathan Stuart,5,"August 27, 2015",True,Five Stars,Works like a champ,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Kermeel,2,"December 21, 2018",True,I need my money back,Didnot like it,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Karen,5,"May 29, 2018",True,Five Stars,Works and looks new,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Amazon Customer,3,"June 12, 2017",True,it's ok ig,good for about 1.5 years but gets glitchy after that,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Nichole,5,"March 21, 2016",True,Great Ipod,"I bought this for my boyfriend as a christmas present, its a great Ipod, everything works, it holds tons of games and music, and my boyfriend loves it.",,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Amazon Customer,3,"December 11, 2015",True,BAD CHARGER CORD,"I think that the Ipod was in great condion, but the charger does not work at all for apple products. I am unsure as to why we got a charger cord that does not work!",,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Visa,2,"November 1, 2015",True,Horrible Touch Screen! XP,"It came on time and it looks brand new with no scratches or marks on it, but the touch screen keeps freezing. At first I thought it might just be a glitch and after the first 2 days it started working again without problem. I've now had it for 12 days and rarely did it freeze, but since yesterday the touch screen functions are not working. I can't slide, open or close any applications, I couldn't even turn the thing off. Once I was able to deactivate it for the night, it turns back on, but the problem is still prominent and annoying as all hell!",3.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Kuceli mshelia,4,"October 19, 2015",True,i love it,Its awesome!!!,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Izzy the Slöth,5,"October 9, 2015",True,Great stuff,Awesome! No glitches or appearance mishaps so far 😊😊😊,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Quincy,2,"July 16, 2015",True,When i got my iPod touch 5g i was very disappointed to find out that it does NOT have a ...,the product and the reviews seem to be VERY misleading about this product. When i got my iPod touch 5g i was very disappointed to find out that it does NOT have a back camera DESPITE reviews saying it does. I hope that i can find a way to return it.,15.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Deborah A Sykes,4,"August 22, 2015",True,Four Stars,Pretty satisfied. One question. Having trouble installing Facebook any suggestions.. Thank you,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Nofo Samantha,5,"October 14, 2019",False,Awesome,Omg I wish I can get another one I love it and would recommend to anyone,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Amazon Customer,5,"November 27, 2015",False,AMAZING,"It is an amazing gift for my family, and everyone loves it.",1.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Dani13,3,"December 9, 2015",True,Very disappointed!,"The iPod is in nice shape, however the ad is not accurate. It does not include the charger; which is an original accessory. Also, it doesn't come in a box, so if this is a gift they'll know it is used. Very disappointed!",8.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Rebekah S,1,"December 2, 2019",True,Don’t waste your money. Refurbished iPod stinks,Unfortunately this iPod was a fail. We bought it for our son for his birthday and within 2 weeks the home button wouldn’t function anymore. The battery life is terrible. What a waste of money.,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Lonnie J. Adams Jr.,5,"April 8, 2016",True,"Even though I HATE APPLE, it's what my ""traitor"" daughter wanted","Even though I HATE APPLE, it's what my ""traitor"" daughter wanted. It was in great condition when it arrived, well packaged and has had no issues so far.",2.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Mohammed Siddiqui,5,"June 8, 2018",True,Five Stars,excellent,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Marie,4,"November 7, 2015",True,I received all of the iPods but one of them ...,I received all of the iPods but one of them didn't come with the head phones or the cable,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Savannah Redman,1,"November 18, 2015",True,Slow and glitchy.,Slow and glitchy. Save your money and buy directly from apple. I had to send it back.,5.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Stephen Smith,5,"March 11, 2016",True,100% as advertised and I am 100% satisfied with the purchase,100% as advertised and I am 100% satisfied with the purchase. I would buy from the company again. Apple iPod touch 16GB (5th Generation) - Space Gray (Certified Refurbished),,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Mom of 5 kiddos,5,"March 31, 2016",True,Mint condition,"Arrived on time, packaged very well and in mint condition (refurbished). It was a great deal, my son loves it. Thank you.",,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Dot,5,"April 6, 2017",True,Boom goes the Music!,Very nice for the price (you can't beat refurbished).,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,aneliya ivanova pesheva,1,"May 6, 2016",True,DO NOT BUY IT. It stopped working after 2 ...,DO NOT BUY IT. It stopped working after 2 days of using it !!!!!!,,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Jennifer Ibarra,1,"November 8, 2015",True,Worst Buy Ever,"Item wa a supposed to be brand new, started going me issues within the first week of use. I couldn't listen to music with my headphones on without the voice control going haywire and fast forwarding the music, pausing tracks, skipping, and activating Siri and voice control when I shut off Siri. Called for a replacement , for my replacement and this one is now going me the same issues as well. This is ridiculous.",2.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Adrian S.,1,"December 28, 2015",False,One Star,Mine is icloud locked!!!,10.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,amy l.,5,"May 21, 2018",False,Five Stars,Extremely useful,1.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B01AUOS8BI,Adie,5,"October 26, 2018",True,Great,Great! Minor scratches on the screen but its barely noticable,7.0,Apple,"Apple iPhone 6S Plus, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01AUOS8BI,Franklin N.,1,"December 27, 2018",True,No good,"I hace ti return it, it doesn’t work at all",3.0,Apple,"Apple iPhone 6S Plus, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01AUOS8BI,Philander Huggins Jr.,1,"June 15, 2019",True,"Trash battery, phone, and touch recognition.",I do not like the battery. The battery jumped percentages. The phone lags every other minutes. I was on the phone with my girlfriend and the phone started buzzing out of control. The screen hesitates to my touch some times. The battery charged & drains to fast. The batty would drain fast then hit a random percentage & the battery would start draining normally from there.,1.0,Apple,"Apple iPhone 6S Plus, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01AUOS8BI,lyes makoudi,2,"August 7, 2019",True,Not great,"The. phone had a few dents and the screen was scratched up. It was also a remanufactured phone, not a refurbished phone.",,Apple,"Apple iPhone 6S Plus, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01AUOS8BI,kerry,1,"December 23, 2019",True,Bad,expensive phone and don't worth.the battery health only 70%.battery super bad.worst battery phone i ever used. And the bottom screw is rusty.,,Apple,"Apple iPhone 6S Plus, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01CR1FQMG,Stacy,5,"April 3, 2017",True,All good so far.,"TLDR: Great phone, looks new. Pay attention to who the seller is when you make your choice - the seller changes when you choose a different color. I bought from BuySPRY. All good so far. I was incredibly hesitant to buy a refurbished phone on Amazon after reading so many negative reviews on various products. I spent a lot of time researching my options and figured this one was probably my safest bet. Phone came in perfect condition (seriously, it looks brand new) and so far all the functions seem great. Set up was easy, unlocked, ready to set my fingerprint and everything. It's fast, sleek, and beautiful. Camera and audio are also great. What I learned: who the seller is is very important. Although all the phones on here are iPhone 6S 64GB, when you select a different color, the seller changes. When you scroll down and look at the section ""Compare to similar items"", you will see who the phone is sold by. Looking at the reviews, most of the negative reviews seemed to be associated with the Space Gray more than the other colors. I then looked rating of each seller for each color of the iPhone 6S 64GB and went from there. As of the time of this review, the Space Gray is listed as ""Item Under Review"" because of the customer feedback.",1.0,Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01CR1FQMG,GYPSY,1,"September 23, 2018",True,Do NOT buy from this company!!! They’re products are crap and they don’t answer or return calls I am filing a formal complaint,"This will be the 3rd iPhone 6s I have had to return for being defective! I am so sick of starting over with a new phone. Every iPhone was sold through Electronic Deals and this crap is unacceptable. I continue to purchase the same phone through the same vendor because i love the iPhone, it is priced reasonably and they are the lowest cost but this is not an option! I feel as though I should get some compensation for ALL my time and troubles! This iPhone is by far the worst yet, it freezes up and won’t open links it gets stuck on a letter or number and then won’t type it at all!!! Please make this next transction worth my while, say half price or better yet a complimentary iPhone wouldn’t hurt",209.0,Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01CR1FQMG,Amazon Customer,1,"October 24, 2017",True,DEFECTIVE BATTERY & CAMERA - I do not trust them and don't think you should either.,"The product was defective and I wish I had chosen another retailer. It's not too late for you. 1. DEFECTIVE BATTERY - The phone was defective the day it arrived. The battery does not hold a charge consistently or indicate how long it will actually last. This defect is sporadic—so sometimes it works and sometimes it doesn't. I thought I was doing something wrong at first so, after a few weeks of frustration, I did a test to see: tracking how long I charged and how long it lasted. This confirmed it was not my fault or a defective charger and that the phone I purchased from Electonic Deals was the problem. 2. QUESTIONABLE SECURITY - Since the day it arrived, I've had someone trying 'access the phone' remotely who is not me. I have never experienced this when I purchased a new phone or one from a credible phone reseller. 3. DEFECTIVE CAMERA - The camera stopped working entirely with no clear cause as I did not drop or damage it in any way prior to this malfunction (however, to be honest, I did scratch it in the corner but this was ironically just last week). All these problems lead to some unfortunate experiences. An unreliable phone can leave you stranded in dangerous situations: Once I charged the phone all day at work, and left late at night so I called a cab. The Electonic Deals phone died by the time I was outside, leaving me locked out and stranded. The cab never came and I had to walk through the city by myself at midnight. It can also risk your job: I had a 100% charge before going to bed so I did not plug it in to charge (reasonable) and it died before the morning so my alarm did not ring. I was late to work several times because of this and ended up buying an old alarm clock. Why didn't I send it back immediately? - Initially, I was not sure the battery issue was a defect. I tend to trust sellers and waited to verify this before accusing Electronic Deals of making a bad sale. - The requests to access my info made me not trust sending it back. Maybe it was Electonic Deals and, if I sent the phone back, I would be at risk of identity theft. I still don't trust this and will bring it to a techy friend to clear my data... - A cell phone is no small purchase. The time between returning it, receiving my money back, and purchasing a new one would leave me disconnected and out 1K. - Once I did confirm this, I had come up with a system: use it only when needed, carry an external battery and always have it plugged in when at work, home and near a power source. Ignore the requests from the mysterious person and hope for the best. Once the camera died, it was very doomed and clear I had been swindled by Electonic Deal. Note: After many emails, the company eventually said I could return the phone— however, they included terms that essentially negated the offer to take it back. Maybe the return terms were a mistake and they will send me my money back in full. However, I've received no gestures of good faith or indication that they sell working products or do fair business. I may have to take the $500 loss because it was my choice to test instead of returning immediately. So my advice is to pick another seller and, if you run into ANY issue, RETURN THE ELECTRONIC DEALS PRODUCT IMMEDIATELY. Rate them 1 star. As of this point, I do not trust them and don't think you should either. Also, if you have suggestions for another more credible retailer please share it with me in the comments so I can find a new working phone!",237.0,Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01CR1FQMG,Jamal holland,5,"July 6, 2017",True,Very happy with my purchase and the condition it arrived!,"7/6/17 Just received my phone today! As far so good! Attached are the pictures of what I received in my package, only thing not pictured was the metal tool to pop out the SIM card tray. Overall very pleased with what I received!",250.0,Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01CR1FQMG,Kindle Customer,5,"May 27, 2018",True,Got this for my daughter as her first smart phone. Wasn't going to spend $400-500 on a ...,"Got this for my daughter as her first smart phone. Wasn't going to spend $400-500 on a phone, so went the factory refurbished route. It is a very nice phone, looks new to me. came with non-OEM charger and cable, but it works so who cares. no ear phones but that's ok. What I liked is the availability of a 1 year protection plan that popped up with I placed this phone in my cart - the protection plan offers don't pop up for all the phone choices so I would place one in my cart the delete it if the protection plan wasn't offered, repeated until I found one that did. All in all I think a good buy. Square Trade provides the protection plan. I used them for a Kindle several years ago and they did a great job replacing it after my son broke it.",69.0,Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01CR1FQMG,Amazon Customer,1,"September 3, 2018",True,Purchased from MyWit.,"Be VERY cautious about buying a phone from them!I purchased the iPhone 6s refurbished from this seller. Initially, the phone seemed to have no issues. As I continued to use it, the battery life got progressively worse. I am just past the 90 day warranty, and the phone will not charge anymore. So I am stuck with a defective phone & the seller is offering no solutions to resolve this issue. This was my second time purchasing this item, as the first iPhone 6s I purchased also had a problem with the camera. I strongly advise against buying a refurbished phone and will never do so again. Basically you are taking a gamble for your money. I thought I was saving money, but I wasted time, energy, and money in the long run. And do NOT buy from MyWit.",54.0,Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01CR1FQMG,Anon,5,"March 22, 2019",True,Super Satisfied,"I'm going to do a blunt review: 1. The phone came in three days, which was an awesome surprise because it had originally said 7. 2. The phone is looks new. No scratches, no dents. 3. It didn't come charged and booted up in about 5 minutes after plugging it in. 4. The phone WAS unlocked and the original language preference was set to Spanish. Aha. 5. It took a bit of ""oomf"" to open the sim card tray. I was a tad nervous after multiple attempts, but I pushed just a bit harder on the last try and the tray basically fell out. 6. About the battery: My battery health is at 81%. I've used it for about 3 hours at a rapid pace, downloading apps, setting stuff up -- and it did drain a tad, but I wouldn't expect anything different. I can bet money that it'll stay charged for at least another 4-5 hours with minimal usage. For anyone complaining about the battery, it's because of one or both reasons: A. You're simply glued to it and won't put it down. B. You have notifications on for everything, maybe maximum brightness, maybe multiple widgets? I highly recommend keeping these off, but I can't speak for everyone. What I do know is this: If you NEED all of those things, I'd recommend replacing the battery with something new. You can grab a DIY replacement for about $20 - you do NOT need to go to Apple for their specific battery. If you're like me that really could careless about having notifications/multiple widgets/etc on, the battery is literally FINE. 7. The device is extremely responsive and FAST. 8. It looks and feels sleek - was even thinner then I expected. 9. The rose-gold color is beautiful. 10. The device came with 5gb used out of 64gb. After downloading an intense amount of apps, I've used 7.4gb/64. Pretty awesome to not have to worry about space! 11. I think the price-point is fantastic for what you're getting. Yes, in about 2 years, updates will stop releasing on this model phone. However, considering how little malware lingers on iOS, I think it's safe to say the phone will last as long as you take care of it. 12. The camera is gorgeous, and the front-facing camera is one of the best I've seen to date. 13. The headphone jack works, the speakers work, the thumbprint lock works. 14. The phone is compatible with T-Mobile and AT&T. I'm really unsure about the others. 15. Don't go crazy over the negative reviews. I was starting to psyche myself out and almost didn't buy it, but i'm happy I did. Should anything not be up-to-par, I'm sure it's either fixable or returnable.",40.0,Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01CR1FQMG,Karen Camargo,1,"May 3, 2017",True,Can't hear people when they call.,"I thought the phone was great until I started receiving phone calls. At first I thought it was the person on the line who's phone was messed up. After a few phone calls it was obvious the phone isn't working properly and all calls sound like the person is miles away, hard to hear them unless you put them on speaker phone. This was one of my fears of buying a ""certified refurbished"" product and unfortunately I was right.",38.0,Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01CR1FQMG,TamaraofCharlotte,1,"August 1, 2018",True,Buyer beware the battery,"This came with the old battery. It has a battery max capacity of 80% which means the phone dies much faster than a phone with a new battery. I didn’t realize this until i noticed my phone was dying after about 8 hours after full charge overnight. By this time, i had this new phone set and didn’t want to go thru the hassle of sending back and starting over. I think this seller counts on that. Now I have to set phone to low battery mode for it to last a day until I have the time to buy a new battery",19.0,Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01CR1FQMG,ganz savery,3,"May 22, 2018",True,Faulty battery,Pros Phone arrived in excellent condition no visible damage at all and properly unlocked I’m on cricket mobile all I had to do was insert sim and go. Cons After 3 days of use phone shut off and would not turn back on without being fully charged. Upon turning phone received an error notification that battery could not maintain peek performance Solution Contacted seller to no avail. Contacted Apple store and was informed based off of battery statistics that battery was faulty and needs to be replaced for 29.99 Scheduled maintenance for next week Results Will update after trip to Apple and verify true quality of the phone Overall Honestly it’s an inconvenience about the battery but even with the additional fee of replacing battery phone still comes in under 300 for a 64gb 6s I wish there was more clarity as to what certified refurbished means but all in all still satisfied with product though customer service may be a problem if your issue is major luckily my problem was only 30usd,19.0,Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01GXAT0CE,Alexander Lindsay,5,"May 31, 2018",True,"Great price, great phone, and great quality (and a warning)","This phone was about half the price of a new IPhone SE, and replaced one that I bought that was run over by a semi truck (long story.) It included a wall charger and phone cord (it didn't include headphones), and a brand new looking IPhone. It only had 1 minor scratch on the back of the phone. However, since it is a refurbished item, I would think the quality can vary from device to device. WARNING: As it is a used item, I would recommend THOROUGHLY inspecting the item. Running screen checks, a battery capacity test, checking for water damage, checking the IMEI, looking to see if the seller has a high rating, the works. (if any of that sounds confusing, just look up those terms to check out what they mean. It takes about 15 minutes or less to perform your total check, but you save literally 100's of dollars. If that sounds like a lot of work, think of it as paying yourself $200 for 15 minutes of work! If you make $600 an hour, sure, buy a new phone. If not, there's no reason not to get this one!) If your phone passes your inspections, great! you just banked a few hundred dollars and have a shiny, new-to-you phone to use. In the unlikely event the IPhone ISN'T up to spec, simply contact the seller. You get 90 days to solve the problem, so you can return it if theres a problem a few months down the road. My experience was fantastic, and I would recommend it to anyone in the market for a new phone",188.0,Apple,"Apple iPhone SE, 16GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01GXAT0CE,Sarabara,1,"November 18, 2017",True,Phone was reported on Stolen phone list. NOT CERTIFIED according to Verizon,"I wish I could give it negative stars. I bought this pos phone for my boyfriend for Christmas. It came quickly and looked/worked nicely. Took it to Verizon to get it activated, apparently the phone we received is on a STOLEN PHONE LIST. I was so embarrassed. They asked me where we got the phone ect as though we were criminals. Thank you so much for ruining my Christmas present for my boyfriend, embarrassing me and wasting a lot of my time.",210.0,Apple,"Apple iPhone SE, 16GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
